"id","site","job_url","job_url_direct","title","company","location","date_posted","job_type","salary_source","interval","min_amount","max_amount","currency","is_remote","job_level","job_function","listing_type","emails","description","company_industry","company_url","company_logo","company_url_direct","company_addresses","company_num_employees","company_revenue","company_description"
"bayt-3736986374818031016","bayt","https://www.bayt.com/en/uae/jobs/data-scientist-5269330/","","Data Scientist","TASC Outsourcing","Dubai · UAE","","","","","","","","","","","","","","","","","","","","",""
"bayt-7614733321681680158","bayt","https://www.bayt.com/en/qatar/jobs/data-scientist-5251194/","","Data Scientist","Starlink ME","Qatar","","","","","","","","","","","","","","","","","","","","",""
"bayt-3744831231445513809","bayt","https://www.bayt.com/en/qatar/jobs/principal-data-scientist-5248253/","","Principal Data Scientist","Ghaia.ai","Doha · Qatar","","","","","","","","","","","","","","","","","","","","",""
"bayt-5262578417750365652","bayt","https://www.bayt.com/en/uae/jobs/senior-ai-lead-family-holding-group-dubai-5263618/","","Senior AI Lead – Family Holding Group | Dubai","Emagine Solutions FZE","Dubai · UAE","","","","","","","","","","","","","","","","","","","","",""
"bayt-6153232895107792380","bayt","https://www.bayt.com/en/uae/jobs/ai-lead-abu-dhabi-150k-usd-per-annum-5259516/","","AI Lead – Abu Dhabi – 150k+ USD per Annum","Emagine Solutions FZE","Abu Dhabi · UAE","","","","","","","","","","","","","","","","","","","","",""
"bayt-6311020881654649229","bayt","https://www.bayt.com/en/uae/jobs/ai-engineer-data-scraping-automation-chatbots-llms-5256802/","","AI Engineer – Data Scraping, Automation, Chatbots, LLMs","2ninjas","Dubai · UAE","","","","","","","","","","","","","","","","","","","","",""
"bayt-2507104026637656953","bayt","https://www.bayt.com/en/qatar/jobs/machine-learning-engineer-5251216/","","Machine Learning Engineer","Starlink ME","Qatar","","","","","","","","","","","","","","","","","","","","",""
"bayt-7827580657010178164","bayt","https://www.bayt.com/en/qatar/jobs/ai-consultant-5251151/","","AI Consultant","Starlink ME","Qatar","","","","","","","","","","","","","","","","","","","","",""
"bayt-201552661418310943","bayt","https://www.bayt.com/en/uk/jobs/data-ai-specialist-annotator-for-ai-models-5248983/","","Data AI Specialist/Annotator for AI Models","DR UK LTD","London · UK","","","","","","","","","","","","","","","","","","","","",""
"bayt-2773154071510676592","bayt","https://www.bayt.com/en/uae/jobs/machine-learning-engineer-5247631/","","Machine Learning Engineer","Emagine Solutions FZE","Dubai · UAE","","","","","","","","","","","","","","","","","","","","",""
"bayt-1930626243536374044","bayt","https://www.bayt.com/en/uae/jobs/head-of-generative-ai-artifical-intelligence-5237348/","","Head of Generative AI (Artifical Intelligence)","Emagine Solutions FZE","Abu Dhabi · UAE","","","","","","","","","","","","","","","","","","","","",""
"bayt-3569733022442027593","bayt","https://www.bayt.com/en/uae/jobs/ai-engineer-5230460/","","AI Engineer","Emagine Solutions FZE","Dubai · UAE","","","","","","","","","","","","","","","","","","","","",""
"bayt-401056467920550036","bayt","https://www.bayt.com/en/saudi-arabia/jobs/data-analyst-5270423/","","Data Analyst","Alesayi Motors","Saudi Arabia","","","","","","","","","","","","","","","","","","","","",""
"bayt-7301933799380184339","bayt","https://www.bayt.com/en/uae/jobs/ai-driven-business-strategist-data-analyst-5266661/","","AI-Driven Business Strategist & Data Analyst","Elegant Hoopoe","Dubai · UAE","","","","","","","","","","","","","","","","","","","","",""
"bayt-3707949988645629635","bayt","https://www.bayt.com/en/qatar/jobs/e-commerce-pricing-and-data-analyst-5265681/","","E-Commerce Pricing and Data Analyst","Starlink ME","Doha · Qatar","","","","","","","","","","","","","","","","","","","","",""
"bayt-1506830883985415475","bayt","https://www.bayt.com/en/jordan/jobs/market-data-analyst-5260747/","","Market Data Analyst","Farouk Jabsheh and Sons Company","Amman · Jordan","","","","","","","","","","","","","","","","","","","","",""
"bayt-244770449839308336","bayt","https://www.bayt.com/en/uae/jobs/junior-data-analyst-bi-tools-python-and-r-5257146/","","Junior Data Analyst (BI Tools, Python and R)","RTC1 Recruitment Services","Dubai · UAE","","","","","","","","","","","","","","","","","","","","",""
"bayt-4260519116523661795","bayt","https://www.bayt.com/en/qatar/jobs/data-architect-5254508/","","Data Architect","Malomatia","Doha · Qatar","","","","","","","","","","","","","","","","","","","","",""
"bayt-7996371105387964288","bayt","https://www.bayt.com/en/qatar/jobs/senior-consultant-application-data-architect-5251235/","","Senior Consultant - Application / Data Architect","Starlink ME","Qatar","","","","","","","","","","","","","","","","","","","","",""
"bayt-2155184701216700130","bayt","https://www.bayt.com/en/qatar/jobs/senior-business-intelligence-bi-specialist-5251234/","","Senior Business intelligence BI specialist","Starlink ME","Qatar","","","","","","","","","","","","","","","","","","","","",""
"bayt-4925006818011635231","bayt","https://www.bayt.com/en/qatar/jobs/consultant-application-data-architect-5251161/","","Consultant - Application / Data Architect","Starlink ME","Qatar","","","","","","","","","","","","","","","","","","","","",""
"bayt-5788381931680125092","bayt","https://www.bayt.com/en/qatar/jobs/business-intelligence-bi-specialist-5251154/","","Business intelligence BI specialist","Starlink ME","Qatar","","","","","","","","","","","","","","","","","","","","",""
"bayt-6085012993154356949","bayt","https://www.bayt.com/en/uae/jobs/data-analyst-executive-5239327/","","Data Analyst Executive","EZ Trading","Dubai · UAE","","","","","","","","","","","","","","","","","","","","",""
"bayt-5786006914325383417","bayt","https://www.bayt.com/en/egypt/jobs/senior-analyst-5230571/","","Senior Analyst","Evalueserve","Maadi · Cairo · Egypt","","","","","","","","","","","","","","","","","","","","",""
"bayt-2138068526958220702","bayt","https://www.bayt.com/en/uae/jobs/senior-data-architect-5235671/","","Senior Data Architect","VDart","Abu Dhabi · UAE","","","","","","","","","","","","","","","","","","","","",""
"bayt-3983886210163788869","bayt","https://www.bayt.com/en/saudi-arabia/jobs/data-analyst-5201434/","","Data Analyst","Teleperformance Company","Khobar · Saudi Arabia","","","","","","","","","","","","","","","","","","","","",""
"bayt-482326772209027551","bayt","https://www.bayt.com/en/saudi-arabia/jobs/data-analyst-5232847/","","Data Analyst","Al-Rashed Group","Khobar · Saudi Arabia","","","","","","","","","","","","","","","","","","","","",""
"bayt-4199362649825080849","bayt","https://www.bayt.com/en/india/jobs/data-analyst-work-from-home-5231501/","","Data Analyst - Work from Home","CC Staffing International Ltd.","Kerala · India","","","","","","","","","","","","","","","","","","","","",""
"bayt-490770367601259293","bayt","https://www.bayt.com/en/kuwait/jobs/pl-sql-developer-temporary-for-6-months-5246620/","","PL/SQl Developer( Temporary for 6 Months)","SOS HR Solutions","Al Kuwait · Kuwait","","","","","","","","","","","","","","","","","","","","",""
"bayt-3197996065552607880","bayt","https://www.bayt.com/en/uae/jobs/head-of-data-5232466/","","Head of Data","Emagine Solutions FZE","Dubai · UAE","","","","","","","","","","","","","","","","","","","","",""
"bayt-3382130742581771819","bayt","https://www.bayt.com/en/saudi-arabia/jobs/data-engineering-specialist-5229872/","","Data Engineering Specialist","Michael Page","Saudi Arabia","","","","","","","","","","","","","","","","","","","","",""
"bayt-5040810388393843020","bayt","https://www.bayt.com/en/uae/jobs/senior-data-scientist-72517997/","","Senior Data Scientist","Emirates Group Careers","UAE","","","","","","","","","","","","","","","","","","","","",""
"bayt-2367952530219476897","bayt","https://www.bayt.com/en/india/jobs/data-scientist-python-sql-visualizations-biz-strategy-72517469/","","Data Scientist (python/SQL/visualizations/biz strategy)","VISA","Bengaluru · India","","","","","","","","","","","","","","","","","","","","",""
"bayt-8813333560793340561","bayt","https://www.bayt.com/en/india/jobs/data-scientist-associate-72517410/","","Data Scientist Associate","JP Morgan Chase","India","","","","","","","","","","","","","","","","","","","","",""
"bayt-8360438565008203619","bayt","https://www.bayt.com/en/india/jobs/data-scientist-72517490/","","Data Scientist","Vodafone","Pune · India","","","","","","","","","","","","","","","","","","","","",""
"bayt-8063094071782375163","bayt","https://www.bayt.com/en/india/jobs/marketing-data-scientist-manager-72511848/","","Marketing Data Scientist, Manager","Forescout","Pune · India","","","","","","","","","","","","","","","","","","","","",""
"bayt-915935349552104453","bayt","https://www.bayt.com/en/india/jobs/senior-data-scientist-value-access-72514110/","","Senior Data Scientist - Value & Access","Amgen Inc","India","","","","","","","","","","","","","","","","","","","","",""
"bayt-858398147950644218","bayt","https://www.bayt.com/en/india/jobs/senior-data-scientist-72514364/","","Senior Data Scientist","Nielsen Consumer LLC","Mumbai · India","","","","","","","","","","","","","","","","","","","","",""
"bayt-3761363115480544885","bayt","https://www.bayt.com/en/india/jobs/data-scientist-72514096/","","Data Scientist","AstraZeneca","India","","","","","","","","","","","","","","","","","","","","",""
"bayt-7387112393538737661","bayt","https://www.bayt.com/en/india/jobs/senior-data-scientist-72515578/","","Senior data scientist","BP p.l.c.","India","","","","","","","","","","","","","","","","","","","","",""
"bayt-8752379616071144363","bayt","https://www.bayt.com/en/india/jobs/data-scientist-generative-ai-72513825/","","Data Scientist (Generative AI)","Philips","India","","","","","","","","","","","","","","","","","","","","",""
"bayt-8524120484388958715","bayt","https://www.bayt.com/en/india/jobs/data-scientist-72513368/","","Data Scientist","Rightpoint","India","","","","","","","","","","","","","","","","","","","","",""
"bayt-1100664466527438325","bayt","https://www.bayt.com/en/pakistan/jobs/senior-data-scientist-72515107/","","Senior Data Scientist","HR WAYS","Karachi · Pakistan","","","","","","","","","","","","","","","","","","","","",""
"bayt-7732645818217146299","bayt","https://www.bayt.com/en/saudi-arabia/jobs/senior-data-scientist-ii-72513938/","","Senior Data Scientist II","Unlimiteck","Riyadh · Saudi Arabia","","","","","","","","","","","","","","","","","","","","",""
"bayt-1017361611122203389","bayt","https://www.bayt.com/en/india/jobs/data-scientist-us-value-access-insights-72514038/","","Data Scientist (US Value & Access Insights)","Amgen Inc","India","","","","","","","","","","","","","","","","","","","","",""
"bayt-5592743877753894453","bayt","https://www.bayt.com/en/india/jobs/lead-data-scientist-72514440/","","Lead Data Scientist","Nielsen Consumer LLC","India","","","","","","","","","","","","","","","","","","","","",""
"bayt-3415211898793626979","bayt","https://www.bayt.com/en/india/jobs/data-scientist-72513355/","","Data Scientist","Rightpoint","Jaipur · India","","","","","","","","","","","","","","","","","","","","",""
"bayt-1089403408168425899","bayt","https://www.bayt.com/en/india/jobs/data-scientist-generative-ai-72512078/","","Data Scientist (Generative AI)","Philips","Bengaluru · India","","","","","","","","","","","","","","","","","","","","",""
"bayt-8760273214120144058","bayt","https://www.bayt.com/en/india/jobs/data-scientist-analyst-fast-team-72511832/","","Data Scientist Analyst - FAST Team","JP Morgan Chase","India","","","","","","","","","","","","","","","","","","","","",""
"bayt-3972191863191901564","bayt","https://www.bayt.com/en/india/jobs/data-scientist-72511919/","","Data Scientist","VISA","Bengaluru · India","","","","","","","","","","","","","","","","","","","","",""
"bayt-7128253676090406042","bayt","https://www.bayt.com/en/pakistan/jobs/senior-data-scientist-72507427/","","Senior Data Scientist","Warner Bros. Discovery, Inc.","Hyderabad · Pakistan","","","","","","","","","","","","","","","","","","","","",""
"bayt-2066653872186172597","bayt","https://www.bayt.com/en/india/jobs/senior-it-architect-senior-data-scientist-72506375/","","Senior IT Architect (Senior Data Scientist)","Medtronic","India","","","","","","","","","","","","","","","","","","","","",""
"bayt-7957832633095069011","bayt","https://www.bayt.com/en/india/jobs/associate-data-scientist-end-to-end-pipeline-development-of-machine-learning-ml-ops-72505987/","","Associate Data Scientist (End to End Pipeline development of Machine Learning & ML Ops)","VISA","Bengaluru · India","","","","","","","","","","","","","","","","","","","","",""
