"","Title","Company","Location","DatePosted","SalaryFrom","SalaryTo","EmploymentType","Source","preferred_skills","description"
"1","Data Scientist","Firebird AST","Alexandria, VA","2025-03-21",93601,141885,"","glassdoor","python,sql","Firebird AST is seeking an onsite TS/SCI cleared Data Scientist to support a U.S. Government client. This is for a pending contract. Contract award is anticipated late 2025\\.


**RESPONSIBILITIES**


* Provide data science and advanced data analytics to support DHS OIG investigations.
* Utilize data mining techniques to find patterns in large data sets.
* Develop prototype software to meet the needs of specific data analytical tasks.
* Participate in strategic planning sessions with case agents, fraud analytical groups, and task forces to identify fraud and corruption schemes affecting DHS.
* Provide expertise in investigations by:
	+ Providing data input to affidavits and subpoenas
	+ Recommending possible investigative steps to obtain additional data
* Compile and analyze:
	+ Large\\-scale complex data sets, records, investigative files, complaint data, and open\\-source intelligence data
	+ Witness testimony, seized evidence, subpoenaed records/data, business records, contract claims data
	+ Develop actionable intelligence information to assist in fraud investigations.
* Help analyze and build profiles/links to identify criminal networks, offenses, suspects, and trends related to complex fraud schemes and patterns.
* Review and analyze:
	+ Various law enforcement, DHS, financial, and procurement databases
	+ Conduct open\\-source searches to obtain necessary records to support complex investigations and prosecutions.
* Input researched and analyzed data into various professional products, including:
	+ Analytical summaries
	+ Graphs and charts
	+ PowerPoint presentations for law enforcement use and prosecutions
* Fully proficient in the use of data science and data analytics software, including but not limited to:
	+ Python
	+ SAS
	+ Structured Query Language (SQL)
	+ i2 Analyst’s Notebook
	+ Tableau
	+ Centrifuge

**REQUIRED**


* 8 years of experience conducting data science and advanced analytics, with at least a portion of the experience within the last 2 years.
* Expertise in fraud investigations, data mining, and intelligence production.
* Proficiency in law enforcement and open\\-source intelligence research methodologies.
* Strong analytical and technical writing skills.


**EDUCATION**


* Bachelor’s degree in Data Science, Computer Science, Mathematics, Intelligence Studies, or a related field.


**CLEARANCE**


* Active DoD Top Secret/SCI clearance.


**About Firebird AST:**


Firebird AST is a Service Disabled Veteran Owned Small Business (SDVOSB) based in Northern Virginia and a market\\-recognized leader within the IC, Department of Defense, Homeland Security, and Law Enforcement. We maintain a corporate culture deeply rooted in the US Military core values that gave us our start \\- honor, integrity, commitment, and selfless service. For this reason, our customers' needs and missions always comes first. We seek hard working, highly experienced, extremely motivated, professionally proven subject matter experts, trainers, leaders, innovators, and technical experts to serve on our team. Firebird AST has a firm understanding that our employees are our greatest asset and that, accordingly, they are to be provided the greatest level of respect and care possible.


Firebird AST is an equal opportunity employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability status, protected veteran status, or any other characteristic protected by law."
"2","Senior Data Scientist","WEX Inc.","Portland, ME","2025-03-21",135000,180000,"","glassdoor","communication,modeling,sql,python","Job Description
Sr. Data Scientist, Risk Solutions
Who We Are
Our Team: The Global Risk Solutions and Strategy group is a fast\\-growing team optimizing risk solutions and models, and we are a key function to help enable WEX’s strategic objectives. The Risk Solutions Team employs data science methodologies (machine learning and statistical frameworks), a wide suite of data types, and modern technologies to develop solutions to inform decision making. Our team helps the firm identify and measure credit and fraud risk to proactively manage the risk throughout the client’s life\\-cycle. As such, you will not only be working with the latest data and machine learning technologies and algorithms, you will be working in a dynamic environment alongside our stakeholders and domain experts to build models and drive better decision\\-making.
Our Company: WEX is a fast\\-growing multinational payments company based in beautiful Portland, Maine. WEX headquarters is situated in the heart of Portland amongst some of the best restaurants in the country and overlooking the ocean and lighthouses. When you are here, you know you are in Maine. We have generous paid time off and paid volunteering time, not to mention great benefits and a culture that values diversity and inclusion.
Who You Are
You are a data\\-driven problem solver who thrives in identifying and mitigating fraud threats while leveraging data science methodologies to enhance risk management. You have a deep understanding of fraud typologies and enjoy leveraging advanced machine learning models to prevent fraud. You recognize where machine learning and data science fit within a broader fraud prevention and risk strategy and can assess when a problem is better addressed through product enhancements, rule\\-based systems, or operational interventions. You believe that communication and relationships are key to success alongside your data and machine learning prowess.
What you’ll do:* Partner with stakeholders to understand fraud risk challenges and translate them into data\\-driven solutions to measure and monitor fraud risk across the firm’s products and services.
* Leverage advanced machine learning, Artificial Intelligence, and statistical methods and technologies to design flexible, scalable, and automated risk modeling solutions.
* Develop code and automated processes to extract fraud patterns from large scale transactional data, device intelligence, behavioural analytics, and other risk indicators.Keep abreast with emerging trends in machine learning and identify opportunities to leverage new tools to solve problems and improve processes
* Synthesize findings into actionable insights and articulate them to the appropriate stakeholders.
* Collaborate closely with fraud strategy, risk operations, and technology teams to integrate fraud model solutions both in rule\\-based systems and cloud infrastructures.
* Mentor and support junior data scientists, sharing knowledge and best practices to elevate the data science practice at WEX.
* Proactively identify and communicate challenges, opportunities, and risks associated with project work to ensure timely completion of the entire product


How you’ll engage:* *Insights Driven:* Clear hypothesis and objective driven analytics that help drive our business decisions and ongoing metrics
* *Stakeholder Aligned:* Understand the needs and audience for deliverables with a succinct and tailored message to maximize impact
* *Results Focused:* Rigorous focus on how analytics drive the end to end experiences with clear path to production and measurable impact
* *Dynamic Collaboration:* Drive continual improvement of our team best practices and processes to power collaboration
* *Quality Mindset:* Trust in our findings is critical so data and analytic quality is understood and accounted for from the beginning
* *Curiosity and Learnin*g: Learn new technologies and collaborate and teach others how to use them as necessary.


Experience You’ll Bring:* 3\\+ years of professional experience in data science, machine learning, or artificial, with a strong focus on fraud detection, including transaction and application monitoring in the fintech/ financial services industry.
* Master’s or Ph.D. degree in a quantitative field such as Mathematics, Statistics, Data Science, Operations Research, Computer Science.
* Strong knowledge of fraud risk models, including supervised and unsupervised learning techniques, and behavioral analysis.
* Advanced knowledge of SQL and experience creating and managing large datasets to organize and extract useful information
* Advanced knowledge of Python or R and experience with common data science libraries such as lightgbm, scikit\\-learn, pandas, etc..
* Understanding of model deployment requirements for scalable solutions
* Deep expertise in statistical and machine learning techniques, including modeling, testing and inference, sampling methods, supervised and unsupervised learning.
* Strong communication and presentation skills with an ability to relate complex analytics findings to business outcomes
* Adaptable and comfortable working collaboratively and independently in a self\\-starting manner
* Evidence of creative problem solving, critical thinking and a continual learning mindset in fraud prevention.


How you will stand out:* Prior experience building application and transaction fraud detection models.
* Knowledge of external fraud intelligence sources, including third\\-party data providers e.g. LexisNexis.
* Knowledge of fraud rules\\-based systems and how machine learning can complement rule\\-based decisioning.
* Experience using cloud environments to develop advanced models, such as AWS Sagemaker
* Experience with end–to\\-end machine learning systems and MLOps framework
* Experience with LexisNexis products


Key Words
Data Science, Machine Learning, Statistical Learning, Artificial Intelligence, Fraud, Transaction Monitoring, MLOps, Behavioral Analytics
The base pay range represents the anticipated low and high end of the pay range for this position. Actual pay rates will vary and will be based on various factors, such as your qualifications, skills, competencies, and proficiency for the role. Base pay is one component of WEX's total compensation package. Most sales positions are eligible for commission under the terms of an applicable plan. Non\\-sales roles are typically eligible for a quarterly or annual bonus based on their role and applicable plan. WEX's comprehensive and market competitive benefits are designed to support your personal and professional well\\-being. Benefits include health, dental and vision insurances, retirement savings plan, paid time off, health savings account, flexible spending accounts, life insurance, disability insurance, tuition reimbursement, and more. For more information, check out the ""About Us"" section.
Pay Range: $135,000\\.00 \\- $180,000\\.00"
"3","Data Scientist II","Bank of America","New York, NY","2025-03-21",105000,246200,"","glassdoor","ai,modeling,communication,python","**Job Description:**


At Bank of America, we are guided by a common purpose to help make financial lives better through the power of every connection. We do this by driving Responsible Growth and delivering for our clients, teammates, communities and shareholders every day.


Being a Great Place to Work is core to how we drive Responsible Growth. This includes our commitment to being a diverse and inclusive workplace, attracting and developing exceptional talent, supporting our teammates’ physical, emotional, and financial wellness, recognizing and rewarding performance, and how we make an impact in the communities we serve.


At Bank of America, you can build a successful career with opportunities to learn, grow, and make an impact. Join us!

**Job Description:**  

This job is responsible for reviewing and interpretating large datasets to uncover revenue generation opportunities and ensuring the development of effective risk management strategies. Key responsibilities include working with lines of business to comprehend problems, utilizing sophisticated analytics and deploying advanced techniques to devise solutions, and presenting recommendations based on findings. Job expectations include demonstrating leadership, resilience, accountability, a disciplined approach, and a commitment to fostering responsible growth for the enterprise.


The Data and AI team within Global Payment Solutions (GPS) at Bank of America is looking for a Data Scientist that is a self\\-starter who can translate complex concepts and generate actionable insights.


Who we are:


Using cutting edge Generative AI and Machine Learning techniques, the GPS Data and AI team drives and powers innovation within one of the largest payment businesses in the world. We are the engine that fuels our business partners and clients across the organization globally, building revolutionary end\\-to\\-end production level solutions at scale. At our core, we are a team that is a collection of individuals who welcome challenging problems, because that is where the learning begins – and we are at the front line of the long\\-term transformation of how AI is applied at one of the largest banking institutions in the world. For many of our projects, we begin by hosting “think tank” sessions with business teams to brainstorm and pinpoint opportunities where we can create traceable value through data, AI and Generative AI. Once a problem is sculpted and the solution framework is developed, we get together as a team and build.


What we’re building:


The data science team (within GPS) is working on multiple projects that are driving/will drive significant impact across the GPS business. Some examples include:

* A Generative AI powered search platform that enables sales and product teams to quickly find high quality answers to product, servicing, and client related questions that will ultimately unite all of our structured and unstructured data
* A comprehensive machine learning model that helps to move foreign currency conversion “up the payment stream”
* A revolutionary approach leveraging advanced statistical methods to identify the best interest\\-rate or product price to provide to clients
* Applying advanced NLP techniques to generate near real\\-time insights into what clients are reaching out to servicing teams about, providing servicing teams with constant information on how they can better serve clients


Who we’re looking for:


If you are passionate about working in cross\\-functional teams and utilizing your skills for technical product management, statistical analytics, predictive modeling, and generating revenue, consider applying to this role.


You will be responsible for a variety of challenging projects that require constant communication and collaboration with data engineers, data scientists and other internal teams. Utilizing extensive business and programming knowledge, you will help to tackle a variety of machine learning problems ranging from recommendation systems, stochastic optimization, and time series forecasting. You will also implement A/B testing and research emerging technologies, among other day\\-to\\-day duties.

 **Responsibilities:**

* Work with stakeholders throughout the organization to identify opportunities for leveraging internal and external data to drive business solutions
* Impact how teams strategically collaborate to drive the company forward and help create the future of data science within GPS
* Responsible for the success and improvement of the applications that support development, research, and data science in GPS (the ""products""), help set long\\-term vision and strategy for selective products, and collaborate with Data Scientists to meet the needs of the ""users""
* Work closely with other Data Scientists to set technical strategy and prioritize development work

**Required Qualifications:**

* Bachelor’s degree in a quantitative field such as: computer science, math, and physics
* Minimum of 3 to 5 years of hands\\-on data science experience working in a highly technical environment
* Extensive experience with Natural Language Processing techniques and Generative AI frameworks such as RAG, text embedding, finetuning, etc.
* Strong understanding of data structures and algorithms with substantial Python experience
* Understanding of how to frame a data science problem and a deep understanding of key machine learning algorithms (KMeans, boosting / bagging models, etc.)
* Critical thinking skills; able to take feedback and transform it into strategic action
* Strong verbal, communication, technical design, and documentation skills

**Desired Qualifications:**

* Graduate level degree in a quantitative field such as, computer science, math, and physics
* Experience with data visualization tools, such as D3\\.js, GGplot, and Matplotlib

**Skills:**

* Agile Practices
* Application Development
* DevOps Practices
* Technical Documentation
* Written Communications
* Artificial Intelligence/Machine Learning
* Business Analytics
* Data Visualization
* Presentation Skills
* Risk Management
* Adaptability
* Collaboration
* Consulting
* Networking
* Policies, Procedures, and Guidelines Management

**Shift:**


1st shift (United States of America)**Hours Per Week:**


40"
"4","Data Scientist with LLM only W2","Procorp Systems Inc","Charlotte, NC","2025-03-21",130000,136000,"","glassdoor","ai,python","**Data Scientist with LLM exp only W2 (Hybrid)**

Location: Charlotte, NC

Duration: 12 Months\\+

Only W2 no sponsorship is available

**Key Responsibilities:**

* Optimize and deploy AI models on GPU clusters for enhanced performance and scalability.
* Leverage multi\\-GPU training and distributed computing frameworks such as TensorFlow Distributed, PyTorch Distributed, and Horovod to accelerate AI/ML workloads.
* Configure and manage NVIDIA GPU and Google Cloud Platform (GCP) resources, including TPUs and GPU instances.
* Develop APIs and design cloud\\-native architectures to support AI/ML applications.
* Work with Generative AI frameworks such as LLaMA and Mistral to drive innovation in AI solutions.
* Utilize FastAPI, Unicorn, and Swagger to create efficient and scalable API solutions.
* Implement solutions using Python, Apache Spark (PySpark), Kubernetes, and Django to ensure robust and scalable applications.
* Employ Apache Kafka for real\\-time data streaming and ensure seamless integration with distributed computing frameworks.

Must\\-Have Qualifications:

* Proven experience in optimizing and deploying AI models on GPU clusters.
* Strong expertise in multi\\-GPU training and distributed computing frameworks, including TensorFlow Distributed, PyTorch Distributed, and Horovod.
* Proficiency in configuring and managing NVIDIA GPU resources and GCP instances.
* Knowledge of API development and cloud\\-native architectures.
* Experience with Generative AI frameworks such as LLaMA and Mistral.
* Proficient in FastAPI, Unicorn, and Swagger for API development.
* Skilled in Python, Apache Spark (PySpark), Kubernetes, and Django.
* Experience with Apache Kafka for real\\-time data streaming and integration with distributed systems.

Job Type: Contract

Pay: $65\\.00 \\- $68\\.00 per hour

Schedule:

* 8 hour shift
* Monday to Friday

Ability to Commute:

* Charlotte, NC 28202 (Required)

Ability to Relocate:

* Charlotte, NC 28202: Relocate before starting work (Required)

Work Location: In person"
"5","Data Scientist (Entry Level)","North Carolina State University","Raleigh, NC","2025-03-21",75000,85000,"","glassdoor","python,sql,communication,database","Posting Information
**Posting Number** PG193993EP
  

**Internal Recruitment** No
  

**Working Title** Data Scientist (Entry Level)
  

**Anticipated Hiring Range** Commensurate with education and experience (anticipated hiring range $75,000 \\- $85,000\\)
  

**Work Schedule** Monday \\- Friday, 8:00 am \\- 5:00 pm. This position may be eligible for hybrid remote work and/or flexible work arrangements but is not eligible to be fully remote.
  

**Job Location** Raleigh, NC
  

**Department** Institutional Strategy \\& Analysis
  

**About the Department**
As NC State’s central office and authoritative source for institutional reporting and analytics, Institutional Strategy and Analysis (ISA) supports the university’s strategic decisions, planning activities, operations, evaluation efforts, and accountability by providing consistent, reliable information and analysis to university leaders, administrators, faculty and staff, students, external stakeholders, and the public.  

In carrying out its mission, ISA:* Collects, analyzes, interprets, models, and reports information about NC State
* Manages institutional strategic planning, including implementation planning and metrics for the university strategic plan
* Provides leadership in governance and strategy with respect to the university’s academic and administrative data
* Administers, analyzes, supports, and oversees institutional surveys
* Supports, administers, and maintains applicable data structures, applications, and systems

  

**Essential Job Duties**
The Data Scientist (Entry Level) plays an important role in advancing NC State’s data and analytics capabilities. Applying advanced analytical and statistical techniques, methods, and tools, this role will help develop and implement predictive models and other sophisticated analytics solutions. Working on the Data Science team within Institutional Strategy and Analysis’s (ISA’s) University Data and Analytics (UDA) unit, this role is a member of a specialized team dedicated to building and delivering analytical products and services that provide actionable insights, drive strategic decision\\-making, and enhance overall institutional effectiveness.
  

**Other Responsibilities**
**Specific duties of the position include but are not limited to:*** Collaborate with other data scientists, analysts, and developers to collect, process, and analyze complex datasets.
* Develop and implement statistical models and machine learning algorithms.
* Create clear data visualizations and reports to communicate findings.
* Maintain organized documentation of analyses and methodologies.
* Support the development and optimization of data collection procedures.
* Perform related duties as assigned or required to meet UDA, ISA, or university goals and objectives.
  

Qualifications
**Minimum Education and Experience**
* Bachelor’s degree or Master’s degree in Data Science, Statistics, Computer Science, or related field; or an equivalent combination of education, training and relevant experience.


  

**Other Required Qualifications**
* Strong programming skills in Python and SQL
* Experience with statistical analysis and machine learning frameworks
* Excellent problem\\-solving abilities and attention to detail
* Strong written and verbal communication skills
* Experience with data visualization tools (e.g., Tableau, PowerBI)
* Ability to work both independently and as part of a team
* Experience with time series analysis, forecasting, and regression analysis


  

**Preferred Qualifications**
* Experience with academic research projects or internships
* Familiarity with version control systems (e.g., Git)
* Knowledge of SQL and relational database management
* Experience with pandas, NumPy, and scikit\\-learn libraries
* Knowledge of Docker containers and basic DevOps practices
* Familiarity with Agile development methodologies
* Basic understanding of big data technologies (Spark, Hadoop)


  

**Required License(s) or Certification(s)**
N/A
  

**Valid NC Driver's License required** No
  

**Commercial Driver's License required** No
  

Recruitment Dates and Special Instructions
**Job Open Date** 03/21/2025
  

**Anticipated Close Date** Open until filled
  

**Special Instructions to Applicants**
Along with your application, please attach your resume, cover letter, and contact information for at least three professional references.
  

Position Details
**Position Number** 00111339
  

**Position Type** EPS/SAAO
  

**Full Time Equivalent (FTE) (1\\.0 \\= 40 hours/week)** 1\\.0
  

**Appointment** 12 Month Recurring
  

**Mandatory Designation \\- Adverse Weather** Non Mandatory \\- Adverse Weather
  

**Mandatory Designation \\- Emergency Events** Non Mandatory \\- Emergency Event
  

**Department ID** 022201 \\- Institutional Strategy \\& Analysis (ISA)
  

**AA/EEO**
NC State University is an equal opportunity and affirmative action employer. All qualified applicants will receive consideration for employment without regard to race, color, national origin, religion, sex, gender identity, age, sexual orientation, genetic information, status as an individual with a disability, or status as a protected veteran. Individuals with disabilities requiring disability\\-related accommodations in the application and interview process are welcome to contact 919\\-515\\-3148 to speak with a representative at the Office of Equal Opportunity.  

  

If you have general questions about the application process, you may contact Human Resources at (919\\) 515\\-2135 or **workatncstate@ncsu.edu**.  

  

Final candidates are subject to criminal \\& sex offender background checks. Some vacancies also require credit or motor vehicle checks. Degree(s) must be obtained prior to start date in order to meet qualifications and receive credit.  

  

NC State University participates in E\\-Verify. Federal law requires all employers to verify the identity and employment eligibility of all persons hired to work in the United States."
"6","Data Scientist","eGrove Systems","East Brunswick, NJ","2025-03-21",90335,139578,"","glassdoor","modeling,sql,python,communication","Date Posted: 03/13/2025



Job Code:DS202503002


**Job Responsibilities:**


* Develop and deploy **machine learning models** for **classification, regression, and time series forecasting**.
* Perform **data analysis, feature engineering, and predictive modeling** to drive business insights.
* Work with **large\\-scale datasets** and implement **geo/spatial analysis** for data\\-driven decision\\-making.
* Build and optimize **risk scoring models, fraud detection systems, and customer segmentation algorithms**.
* Utilize **SQL, PostgreSQL, and Oracle** for efficient data extraction, transformation, and storage.
* Create interactive **data visualizations and dashboards** using **Tableau and Power BI**.
* Work on **data migration projects**, integrating data from various sources such as **AWS, OCI, and CRM systems**.
* Automate data workflows and reporting using **Excel Macros and Python scripting**.
* Collaborate with cross\\-functional teams to define **business KPIs, build dashboards, and provide actionable insights**.
* Work in an **Agile environment** using project management tools like **JIRA and Confluence**.


**Technical Skills:**


* Python, SQL, PL/SQL, PostgreSQL, Oracle, Time Series Forecasting, Classification, Regression, Geo/Spatial Analysis, Tableau, Power BI, Excel Macros, AWS, OCI, Data Lakes, Data migration, ETL pipelines, CRM integration, JIRA, Confluence.


**Skills Requirements:**


* Must have a **bachelor’s degree in computer science, electrical engineering, electronics, or a related field.**
* **5\\+ years** of experience in **data science, machine learning, and analytics**.
* Strong background in **Python, SQL, and data visualization tools**.
* Experience in **developing predictive models, fraud detection, and business intelligence solutions**.
* Hands\\-on expertise in **data processing, feature engineering, and cloud\\-based data platforms**.
* Familiarity with **Agile methodologies, project management tools, and reporting automation**.
* Strong problem\\-solving and analytical skills with excellent communication."
"7","Data Scientist","Unified","San Antonio, TX","2025-03-21",73393,118369,"","glassdoor","python,sql","Job Description


Who you are:


You enjoy building machine learning models and doing advanced statistical analyses. You enjoy combing through large data sets and finding patterns within the noise. You’re autonomous and able to acquire new skills to solve a problem. You’re always looking to innovate current processes and you get excited when tackling problems you haven’t seen before. You have a strong analytics and programming background and are ready to start applying this to the world of data science.


What you’ll do:


As a Data Scientist you will work on building/evaluating learning models to predict core business results. You’ll derive impactful insights from data to drive intelligence for Unified and its clients. You will work with your fellow data science team members to define and scope data science solutions to solve complex problems. You will help build, improve, and test robust statistical and machine learning solutions that will drive impact throughout the organization.


Need to have:

* 2\\+ years experience in a data analytics role
* 2\\+ years experience building Machine Learning models
* 2\\+ years advanced programming skills in Python
* High Proficiency in SQL and knowledge of RDBMs like Postgres and Redshift
* Experience with ETL processing and data wrangling including fetching, munging, cleaning, pivoting, analyzing, aggregating, distributing, and visualizing
* Basic knowledge of statistics, algorithms, data structures, and machine learning
* Bachelor’s or higher in a quantitative field


Nice to have:

* Experience with digitalr advertising technology
* Experience with AWS
* Experience with Spark and the big data ecosystem
* Experience using Git and the Unix command\\-line
* Familiarity with Airflow and Docker
* Familiarity calling RESTful web services, specifically social APIs (Facebook, Twitter, LinkedIn, YouTube, etc.)
* Familiarity with BI tools (Tableau, Sisense)


\\*\\*\\*\\*\\*\\*\\*\\*\\*\\*\\*\\*\\*\\*\\*\\*\\*\\*\\*\\*\\*\\*\\*\\*\\*\\*\\*


About Us


Unified stands at the forefront of empowering marketers to make informed and impactful decisions through our industry\\-exclusive business intelligence platform, purposefully designed for social advertising. With a wealth of experience in collecting and enriching over 3 billion dollars of social investment data, we are fervently committed to providing Fortune 2000 brands and agencies with greater transparency into their diverse teams, tools, and strategies. At the heart of our offerings is the Unified Platform and service teams, meticulously crafted to ensure data quality, optimize investments, and address critical business inquiries. As a leading provider of advertising services, Unified takes a comprehensive approach to paid social advertising, boasting a best\\-in\\-class team of digital experts utilizing purpose\\-built technology to deliver operational excellence and holistic insights across major social platforms. We firmly believe that the best marketing insights drive optimal performance, and at Unified, we seamlessly deliver both. With industry\\-leading media experts supported by robust data and technology, we have over a decade of experience in managed service partnerships with some of the world's largest brands, maintaining an unwavering focus on digital advertising services and technology. Our proprietary technology provides our internal team and customers with a strategic and holistic real\\-time view of their digital investments. Pioneering paid social over 11 years ago, Unified holds a unique position as one of the select partners with direct API access to major platforms such as Meta, X, Snapchat, Pinterest, YouTube, LinkedIn, TikTok, and Reddit. Join Unified as we continue to redefine the landscape of digital advertising through innovation, expertise, and cutting\\-edge technology.

  

This is a remote position."
"8","Lead Data Scientist","Coca-Cola Southwest Beverages","Dallas, TX","2025-03-21",113069,164412,"","glassdoor","modeling,python,sql,communication","Req ID: 214815

**General Purpose**
-------------------


This role holds a leadership position and manages the work of Data Scientists who design and develop advanced analytics models. They provide technical guidance and manage the day\\-to\\-day development and validation tasks for the team, ensuing the quality of the solutions.

**Duties and Responsibilities**
-------------------------------

* Manages the day\\-to\\-day tasks and development work of Data Science resources to ensure alignment with objectives and deliverables
* Provides technical guidance and validation of the Data Science development work to ensure model quality and accuracy
* Oversees the creation of quality metrics for the implementation and execution of Advanced Analytics projects, reporting them to key stakeholders
* Leads the design of experiments and testing to be followed during the pilot phase in the AA projects
* Ensure the scalability, stability, and performance of the code and models developed by the DS team.
* Ensure technical alignment with the Data Science team from HQ.
**Qualifications**
------------------

* Bachelor’s degrees in Computer Science, Statistics, Mathematics or related field.
* Advanced degree, Masters or PhD, is a plus.
* 3\\+ years of experience in data science, including hands\\-on experience in data analysis and model design, development, and execution
* 3\\+ years proven experience leading and managing a team of data scientists, including setting goals, providing guidance, assigning tasks, and evaluating performance.
* Expert in data analysis, machine learning, statistical modeling, and data manipulation.
* Proficient in tools and languages like Python, R, SQL, and machine learning libraries/frameworks.
* Strong grasp of the organization's goals, industry, and competitive landscape. They should be able to align data science efforts with business objectives.
* Strong written and verbal communication skills to convey complex technical findings to both technical and non\\-technical stakeholders.
* Proficiency in project management methodologies to ensure the efficient execution of data science projects, including resource allocation, timelines, and project prioritization.
* 30% travel expected
  

Applicants with disabilities may be entitled to reasonable accommodation under the Americans with Disabilities Act and certain Texas or local laws. A reasonable accommodation is a change in the way things are normally done which will ensure an equal employment opportunity without imposing undue hardship on Coca\\-Cola Southwest Beverages. Please inform us at talentacquisition@cocacolaswb.com if you need assistance completing this application or to otherwise participate in the application process.


Know Your Rights dol.gov


Coca\\-Cola Southwest Beverages LLC is an Equal Opportunity Employer and does not discriminate against any employee or applicant for employment because of race, color, sex, age, national origin, religion, sexual orientation, gender identity and/or expression, status as a veteran, and basis of disability or any other federal, state or local protected class."
"9","Data Scientist","KesarWeb","Interlachen, FL","2025-03-21",70000,75000,"","glassdoor","communication,python,ai,sql,modeling","**Job Title:**

Data Scientist

**Job Summary:**

We are seeking a talented and innovative Data Scientist to drive data\\-driven decision\\-making and deliver actionable insights through advanced analytics and machine learning. You will work with large datasets, develop predictive models, and collaborate with cross\\-functional teams to create impactful solutions that align with business goals.

**Key Responsibilities:**

* **Data Exploration and Analysis:**
* Collect, clean, and preprocess data from various sources for analysis.
* Conduct exploratory data analysis (EDA) to uncover trends, patterns, and anomalies.
* **Model Development:**
* Design and implement machine learning models for classification, regression, clustering, and other tasks.
* Develop and validate predictive models to support business strategies.
* **Data Visualization and Communication:**
* Create clear and compelling visualizations to communicate findings using tools like Tableau, Power BI, or Python libraries (e.g., Matplotlib, Seaborn).
* Present insights and recommendations to technical and non\\-technical stakeholders.
* **Research and Innovation:**
* Stay updated with the latest advancements in data science, AI, and machine learning.
* Experiment with new algorithms and methodologies to improve model performance.
* **Collaboration:**
* Work closely with data engineers to build and maintain data pipelines and infrastructure.
* Collaborate with business units to understand their objectives and translate them into data\\-driven solutions.
* **Deployment and Monitoring:**
* Deploy machine learning models into production environments.
* Monitor and evaluate model performance, retraining as necessary to ensure accuracy and relevance.

**Qualifications:**

**Essential:**

* Bachelor’s or Master’s degree in Data Science, Computer Science, Statistics, Mathematics, or a related field.
* Strong programming skills in Python, R, or Java.
* Proficiency in machine learning frameworks like TensorFlow, PyTorch, or Scikit\\-learn.
* Experience with big data tools and platforms (e.g., Hadoop, Spark, AWS, GCP).
* Expertise in SQL for data manipulation and querying.
* Solid understanding of statistics, probability, and data modeling techniques.

**Preferred:**

* Experience with deep learning, NLP, or computer vision techniques.
* Familiarity with MLOps tools for model lifecycle management.
* Knowledge of data warehousing and ETL processes.
* Certifications in data science, machine learning, or related tools (e.g., AWS Certified Machine Learning).

**Soft Skills:**

* Excellent problem\\-solving and critical\\-thinking abilities.
* Strong communication skills to convey complex data concepts in a simple manner.
* Ability to work independently and collaboratively in a team environment.
* Attention to detail and commitment to delivering high\\-quality work.

**Benefits:**

* Competitive salary and bonus structure.
* Comprehensive health and wellness benefits.
* Opportunities for professional development and training.
* Flexible work arrangements, including remote options.

Job Type: Full\\-time

Pay: $70,000\\.00 \\- $75,000\\.00 per year

Schedule:

* Monday to Friday

Work Location: In person"
"10","Sr. Data Scientist","QRC Group, Inc","Juncos, PR","2025-03-21",NA,NA,"","glassdoor","python,database,sql,communication","**Company Description** ***QRC Group, LLC*** *is a firm dedicated to offer services to the Pharmaceutical, Medical Devices and Chemical Industries in the validation and regulatory fields.*

*Log on now to our website http://www.****qrcgroup.com****/ to learn more about our services and solutions!*

 **Job Description** **Sr Data Scientist** with experience in:

* Programming, coding, system design and architecture, algorithms and data structures.
* Statistical software, coding languages (e.g. R, MATLAB, SAS, Python) and database languages (e.g. SQL).
* Articulating business questions and using programming techniques to establish business solutions.
* Develop solutions to routine technical problems.

**General skills:**

* **Demonstrated skills in selecting the right tools given a problem.**
* Detailed technical proficiency with strong logical, problem solving, and conflict resolution.
* Demonstrated leadership skills, initiative and self\\-motivation.
* Excellent time and project management skills to deliver projects on time and budget.
* Ability to communicate analysis in a clear, precise, and actionable manner.
* Great teammates with strong negotiation skills to work with multidisciplinary teams that rely on collaboration for effective decision\\-making.
* High quality and compliance mind set to work in a highly regulated GMP industry.
* Computer literacy (Windows environment: Word, Excel, Power Point, Minitab).

  

**Qualifications**  

* Doctorate degree or Master’s degree in Science or Engineering and 3 years of data science, business, statistics, data mining, applied mathematics, business analytics, engineering, computer science or related field experience  

Bachelor’s degree in Science and Engineering and 5 years of data science, business, statistics, data mining, applied mathematics, business analytics, engineering, computer science or related field experience (An engineering or computer science background is preferred)
* Bilingual (Spanish/English)(Write/Speak)
* Excellent communication skills: oral and written. Interacts effectively with a variety of communication and working styles.

  

**Additional Information**  

All your information will be kept confidential according to EEO guidelines."
